एडी चोई <unk> अच्छा चला गया	0.315	0.301	एडी चोईव good go
वह जागने के लिए बदतर है क्योंकि सबकुछ गिर गया है	0.377	0.662	वह awaking के लिए worst है because सबकुछ fell है
क्या आप इस राज्य को एक जादूगर को आत्मसमर्पण करेंगे जो आपके राजा के मन का शासन करता है	0.32	0.049	क्या आप इस राज्य को एक जादूगर को आत्मसमर्पण करेंगे जो your rule rule rules the mind of your king
लंबे समय तक इंतज़ार कर रहे हैं	0.454	0.479	long time तक wait कर रहे हैं
जब मैं नाटक के लिए यह काम कर रहा था	0.225	0.339	जब मैं drama के लिए यह काम कर रहा था
कृपया मुझे चूमो जहां आप जानते हैं मुझे यह बच्चा पसंद है	0.207	0.083	please please मुझे चूमो जहां आप जानते हैं मुझे यह बच्चा पसंद है
साथ ही साथ एक बड़ा बॉक्स अधिक <unk> प्राप्त कर सकते हैं मुझे भी दूर रखो	0.05	0.156	साथ ही साथ एक बड़ा box अधिक्रीम प्राप्त कर सकते हैं मुझे भी दूर रखो
अब मैं कभी भी कल्पना की तुलना में छल में डूब गया मैंने वापस देखा और मैंने कुछ और देखा	0.405	0.806	अब मैं कभी भी imagine की compare में slum में sink गया मैंने back देखा and मैंने कुछ और see
मुझे लगता है कि हम बल्लेबाजी करेंगे	0.372	0.174	मुझे लगता है कि हम will bat
किसी भी जासूस के लिए दो बिंदुओं के बीच सबसे छोटी दूरी एक सीधी रेखा है लेकिन लुईस के लिए उसे हमें पिछली शताब्दी में वापस ले जाना है	0.073	0.125	किसी भी जासूस के लिए दो points के बीच सबसे छोटी दूरी एक सीधी line है लेकिन लुईस के लिए उसे हमें पिछली शताब्दी में वापस ले जाना है
आप रहना चाहते हैं यह भी ठीक है लेकिन अपने देवता को रोका बंद करो	0.201	0.062	you want to live यह भी ठीक है लेकिन अपने देवता को रोका बंद करो
यही कारण है कि वह अलग हो रहा है	0.227	0.242	यही कारण है कि he is getting different
मां कहते हैं कि यदि आप एक ईमानदार आदमी <unk> खोल बनाते हैं तो आप पर्दे चुनने में मदद करते हैं	0.022	0.377	मा कहते हैं कि यदि आप एक ईमान्दार आदमीTYPE खोलते हैं तो आप पर्दे चुनने में मदद करते हैं
इसका मतलब यह नहीं है कि वे इस्तेमाल होने जा रहे हैं	0.302	0.313	इसका meaning यह नहीं है कि वे use होने जा रहे हैं
मैंने सोचा कि आप <unk> नियुक्त करने जा रहे थे	0.276	0.099	i thought आपतप appoint करने जा रहे थे
मैं यह नहीं समझ सकता कि इस सॉस में मशरूम <unk> या <unk> हैं या नहीं	0.486	0.683	मैं can’t understand की इस sauce में mushroom or yaar हैं या नहीं
बेशक हमारे पास है लेकिन हम में से कोई भी इसे नहीं चाहता है	0.283	0.229	of course हमारे पास है but हम में से कोई भी इसे नहीं चाहता है
खैर देखो योजनाओं में बदलाव आया है	0.443	0.889	खैर देखो plans में change आया है
जो दर्द मैं गवाह करता हूं वह मुझे ले जाता है	0.253	0.282	जो pain मैं witness करता हूं वह मुझे ले जाता है
क्या वे वहां मुक्केबाजी करेंगे या	0.364	0.192	क्या वे वहां मुक्केबाजी करेंगे or else
मुख्य कार्यालय में लौटने के लिए हैं	0.326	0.245	main office में लौटने के लिए हैं
सामान्य जो आप चाहते हैं और जो आपको मिलता है के बीच आधा रास्ते है	0.057	0.013	normal जो आप चाहते हैं और जो आपको मिलता है के बीच आधा रास्ते है
मुझे अतीत को जाने देना पड़ा	0.228	0.069	i have to let the past go
शायद यह कहने का उसका तरीका है क्षमा करें मेरा मतलब है वह आप पर भरोसा कर रहा है है ना	0.423	0.838	maybe यह कहने का उसका way है please sorry मेरा meaning है वह आप पर trust कर रहा है ना
यदि आप स्क्रॉल को पूर्ववत करते हैं तो ज़ेन वापस आ जाएगा और फिर सेना हमला नहीं करेगी	0.492	0.105	if you east the scroll prepone तो ज़ेन वापस आ जाएगा और फिर सेना हमला नहीं करेगी
आप जानते हैं कि अंडरवर्कर पुलिस जिस पर लेस नाइट की हत्या का आरोप लगाया गया था	0.448	0.24	you know that underworld police जिस पर लेस नाइट की हत्या का आरोप लगाया गया था
चाची झोउ क्या माओ चेन के साथ मिलती है	0.378	0.899	aunty झोउ क्या mao चेन के together मिलती है
नहीं नहीं इसे करने पर विचार करें	0.237	0.23	no नहीं इसे करने पर विचार करें
शायद शहर से बाहर कुछ बेवकूफ इसे खरीद लेंगे इससे पहले कि वह आपको पता <unk> है कि कौन अगला दरवाजा रहता है	0.32	0.175	maybe out of town कुछ बेवकूफ इसे खरीद लेंगे इससे पहले कि वह आपको पता है कि who next door रहता है
नहीं मैं नहीं करूँगा क्योंकि तुम नहीं जा रहे हो	0.056	0.295	नहीं मैं नहीं करूँगा because तुम नहीं जा रहे हो
उसने अभी कहा कोई स्ट्रिपर्स नहीं	0.487	0.219	उसने अभी कहा कोई stripes no
भगवान के लिए चुप रहो	0.002	0.19	के लिए चुप रहो
आपको लगता है कि मैं दो मिल सकता है	0.498	0.702	you think मैं two मिल सकता है
वहां कैसे जा रहा है उसे बेहतर बनाते हैं	0.147	0.111	वहां कैसे जा रहा है making it बेहतर
श्री ब्लॉट ने अकादमी के चारों ओर एडम को दिखाया और उन्हें अपने विशेष रहस्यों के बारे में बताया	0.121	0.052	श्री ब्लॉट ने अकादमी के चारों ओर एडम को दिखाया और उन्हें अपने special secrets के बारे में बताया
लेकिन मैं महसूस करता हूं कि यह होगा	0.473	0.524	but मैं feel करता हूं कि this होगा
हम आपकी मदद करने आए थे	0.133	0.102	हम आपकी मदद करने आए थे fuck man
आपको भी एक होना होगा	0.264	0.386	आपको भी one होना होगा
एक <unk> आज होनोलूलू लेना चाहता था	0.416	0.827	एकाउ plus आज heroine लेना want करता था
जब तक वे मेरे परिवार को छिपाते हैं तब तक मैं उनसे कुछ भी करूंगा जो वे मुझसे पूछते हैं	0.407	0.209	जब तक वे मेरे family को छिपाते हैं तब तक i will do anything that they ask me
ओह मैं क्षमा चाहता हूँ	0.019	0.299	ओह मैं क्षमा चाहता हूँ
हो सकता है कि राजमार्ग थोड़ा सा इंतजार कर सके	0.405	0.359	हो सकता है कि highway थोड़ा सा wait कर सके
आपको वह पैसा मिलेगा भले ही आपको अपने भाई को मारना पड़े	0.428	0.209	आपको वह पैसा मिलेगा even though you have to kill your brother
अंकल बुब्बा ने यह भी कहा कि आप उसे और चाची सैली खरीदेंगे	0.083	0.166	uncle बुब्बा ने यह भी कहा कि आप उसे और चाची सैली खरीदेंगे
क्या कोई <unk> आया था	0.088	0.301	क्या कोईइयेजा आया था
खुद को बहुत आरामदायक नहीं है	0.428	0.127	खुद को बहुत आरामदायक never happens
मैंने कई बार कहा है कि मैं अपने ड्रेसिंग रूम में कार्नेशन नहीं चाहता	0.092	0.204	मैंने कई बार कहा है कि मैं अपने dressing room में कार्नेशन नहीं चाहता
मुझे कुछ कॉफी चाहिए क्या आपको एक कप पसंद आएगा	0.111	0.249	मुझे कुछ coffee चाहिए क्या आपको एक कप पसंद आएगा
एक बार जब आप इसे जानते हैं तो आप एक बेहतर कहानी लिखेंगे	0.289	0.133	one time जब आप इसे जानते हैं तो आप एक बेहतर story लिखेंगे
तो चांडलर क्या आपने मोनिका के गुप्त प्रेमी के बारे में सुना है	0.486	0.991	तो lunar क्या आपने monica के secret lover के relationship में hear किया है
हम इन असली लोगों या अतिरिक्त हैं	0.054	0.266	हम इन असली लोगों या extra हैं
क्या आपको लगता है कि मैं डोनी को मारना चाहता हूं	0.493	0.544	do you think मैं delhi को मारना चाहता हूं
मेरा मतलब है वास्तव में शहद असली हो जाओ	0.051	0.242	मेरा मतलब है वास्तव में शहद original हो जाओ
दूसरे शब्दों में आप कह रहे हैं कि आप हारना चाहते हैं	0.157	0.114	दूसरे शब्दों में आप कह रहे हैं कि आप want to हार
हाँ ठीक है मानचित्र कहता है कि हम गड़बड़ हैं	0.459	0.23	हाँ ठीक है the map says that we are wrong
उन्हें लड़कियों को खोजें	0.489	0.367	उन्हें लड़कियों को search them
ठीक है मुझे कहना चाहिए	0.066	0.01	ok मुझे कहना चाहिए
मुझे एहसास है कि हम बड़ी परेशानी में आ जाएंगे	0.15	0.372	मुझे feeling है कि हम बड़ी problem में आ जाएंगे
मैंने अपने अनुभव को काम से लिया है जो बिजली इलेक्ट्रॉनिक्स है	0.253	0.088	मैंने अपने अनुभव को काम से लिया है जो power electronics है
<unk> में हम सभी को वापस सफलता की गर्व है	0.336	0.306	yemen में हम सभी को वापस success की pride है
मैंने उन टेलीग्राफ तारों को साफ कर दिया जैसे आपने मुझे बताया जेसी	0.405	0.631	मैंने उन paintings को clear कर दिया जैसे आपने मुझे बताया jc
मेरी उम्र में मुझे किसी पर दुबला होना चाहिए	0.324	0.074	मेरी उम्र में मुझे किसी पर दुबला होना चाहिए my birthday
यह पेपर दिखाता है कि आप एक स्वतंत्र महिला हैं आपको यंकियों द्वारा उठाए जाने से रोकते हैं	0.251	0.137	यह पेपर दिखाता है कि आप एक independent lady हैं आपको यंकियों द्वारा उठाए जाने से रोकते हैं
आप <unk> ट्रम्प में नहीं जा रहे हैं	0.477	0.602	आपात group में नहीं जा रहे हैं drunken pump
खैर और यह सब के साथ मैंने सोचा कि मैं गलत जगह पर था	0.344	0.169	खैर and this with all मैंने सोचा कि मैं गलत जगह पर था
मैं समझता हूं कि भाई कैसा महसूस करता है	0.219	0.347	मैं समझता हूं कि brother कैसा महसूस करता है
इस तरह दिखने मत दिखाओ	0.171	0.13	look like this don't show
मुझे नहीं पता कि इसे कैसे बनाया जाए	0.135	0.375	मुझे नहीं पता कि इसे how बनाया जाए
इसे किसी से ले लो जिसने अपने <unk> को जीवन में बहुत जल्दी मिला प्यार में होना एक शानदार रहस्य है जो एक आदमी और एक औरत लेता है	0.193	0.058	इसे किसी से ले लो जिसने अपने एक्एक्स को जीवन में बहुत जल्दी मिला प्यार में होना एक शानदार secret है जो एक आदमी और एक औरत लेता है
मेरे पिता कहते थे कि <unk> तब तक निर्विवाद नहीं था जब तक आप ध्यान में रखते थे कि सच्चाई सर्वोच्च कानून है	0.104	0.261	मेरे dad कहते थे किवन तब तक undisputed नहीं था जब तक आप ध्यान में रखते थे कि सच्चाई सर्वोच्च कानून है
ऐसा कहा जाता है कि एक बच गया	0.009	0.198	ऐसा कहा जाता है कि एक बच गया
मैं वास्तव में दंडनीय नहीं बनना चाहता हूं	0.316	0.227	मैं really में दंडनीय नहीं बनना चाहता हूं
क्या आप उम्मीद करते हैं कि <unk> की तरह लोगों को चेन करने का अधिकार है	0.024	0.063	क्या आप उम्मीद करते हैं किलेस की तरह लोगों को चेन करने का अधिकार है
लेकिन अब मैं उसके भोजन लाने से डरता हूं	0.116	0.314	लेकिन अब मैं उसके food लाने से डरता हूं
श्रीमान राष्ट्रपति किसी भी तरह से मदद करने के लिए तैयार हैं	0.13	0.398	श्रीमान राष्ट्रपति किसी भी तरह से help करने के लिए ready हैं
इससे क्या फर्क पड़ता है कि वह वहां कैसे पहुंचा	0.351	0.997	इससे क्या difference होता है कि वह वहां to कैसे reach करेगा
वह आपको निर्दोष नहीं बना सकता है	0.3	0.226	वह आपको innocent नहीं बना सकता है
chffe7c5 मुझे आश्चर्य है	0.397	0.283	chff7c5 i'm surprised
अगर मेरे पास था तो आप सबसे पहले जान लेंगे आह	0.419	0.037	अगर मेरे पास था तो आप सबसे पहले will know ah
यह आखिरी जगह है जो मुझे पता है कि उन्होंने कभी आने का सोचा होगा	0.315	0.252	यह last place है जो मुझे पता है कि they have never come सोचा होगा
स्वैन ने कहा कि वह एक आवास संपत्ति के लिए योजनाओं पर चर्चा करने के लिए ऑफ मौके पर चले गए वाटसन उनके लिए डिजाइन कर रहे थे	0.094	0.061	स्वैन ने कहा कि वह एक आवास संपत्ति के लिए योजनाओं पर चर्चा करने के लिए off opportunity पर चले गए वाटसन उनके लिए डिजाइन कर रहे थे
यह मुझे होना है	0.017	0.353	यह मुझे होना है
<unk> तुम कैसे कर रहे हो	0.313	0.305	thirsty तुम कैसे कर रहे हो
हम आपको एक सुंदर बच्चा बनाने जा रहे हैं	0.289	0.139	हम आपको एक beautiful child बनाने जा रहे हैं
अब कृपया एक बार बिस्तर पर वापस जाओ	0.331	0.911	अब please एक बार bed पर return जाओ
